Week,Home,Home Sets,Away,Away Sets,Location
1,Beaver Street Bullies,,Haymakers,,Allegheny Country Club
1,Cox Slashers,,Trick Shots Only,,Edgeworth Club
1,Duncan's Donuts,,Tri-Borough Deuces,,Sewickley YMCA
2,Beaver Street Bullies,,Cox Slashers,,Allegheny Country Club
2,Haymakers,,Duncan's Donuts,,Edgeworth Club
2,Trick Shots Only,,Tri-Borough Deuces,,Sewickley YMCA
3,Tri-Borough Deuces,,Cox Slashers,,Allegheny Country Club
3,Haymakers,,Trick Shots Only,,Edgeworth Club
3,Duncan's Donuts,,Beaver Street Bullies,,Sewickley YMCA
4,Tri-Borough Deuces,,Haymakers,,Allegheny Country Club
4,Cox Slashers,,Duncan's Donuts,,Edgeworth Club
4,Trick Shots Only,,Beaver Street Bullies,,Sewickley YMCA
5,Beaver Street Bullies,,Tri-Borough Deuces,,Allegheny Country Club
5,Cox Slashers,,Haymakers,,Edgeworth Club
5,Duncan's Donuts,,Trick Shots Only,,Sewickley YMCA
6,Haymakers,,Beaver Street Bullies,,Edgeworth Club
6,Tri-Borough Deuces,,Duncan's Donuts,,Allegheny Country Club
6,Trick Shots Only,,Cox Slashers,,Sewickley YMCA
7,Cox Slashers,,Tri-Borough Deuces,,Edgeworth Club
7,Trick Shots Only,,Haymakers,,Sewickley YMCA
7,Beaver Street Bullies,,Duncan's Donuts,,Allegheny Country Club
